timestamp,Åšrednia,Mediana,Min,Max,Odchylenie Std
2025-03-14 13:00:00,20776.411585365855,20757.0,20468.0,20997.0,94.16998482922901
2025-03-14 14:00:00,20585.66853932584,20581.0,20452.0,20709.0,48.75966167420539
2025-03-14 15:00:00,20548.65870786517,20549.0,20436.0,20645.0,39.69957621478179
2025-03-14 16:00:00,20561.889830508473,20565.0,20436.0,20677.0,46.44988488588607
2025-03-14 17:00:00,20588.937765205093,20581.0,20468.0,20693.0,44.93522662231939
2025-03-14 18:00:00,20596.322081575247,20597.0,20452.0,20709.0,42.56499989360619
2025-03-14 19:00:00,20607.149085794656,20613.0,20485.0,20693.0,44.16990558086055
2025-03-14 20:00:00,20620.03098591549,20629.0,20501.0,20709.0,42.781257484726005
2025-03-14 21:00:00,20633.29213483146,20629.0,20517.0,20741.0,43.0186437186371
2025-03-14 22:00:00,20643.649789029536,20645.0,20533.0,20741.0,41.94241185157641
2025-03-14 23:00:00,20654.41971830986,20661.0,20533.0,20757.0,41.18596108641446
2025-03-15 00:00:00,20662.483146067414,20661.0,20517.0,20773.0,45.43699054027426
2025-03-15 01:00:00,20669.29213483146,20677.0,20517.0,20773.0,44.240031193399616
2025-03-15 02:00:00,20679.475386779184,20677.0,20517.0,20773.0,44.59260532503292
2025-03-15 03:00:00,20687.471086036672,20693.0,20549.0,20805.0,43.529434441558045
2025-03-15 04:00:00,20700.88732394366,20693.0,20565.0,20789.0,44.350046644828375
2025-03-15 05:00:00,20705.745762711864,20709.0,20581.0,20805.0,42.45037434320758
2025-03-15 06:00:00,20711.05649717514,20709.0,20581.0,20821.0,44.0929604999238
2025-03-15 07:00:00,20721.028208744712,20709.0,20629.0,20805.0,41.774472441619075
2025-03-15 08:00:00,20726.827926657264,20725.0,20613.0,20821.0,42.142598371853204
2025-03-15 09:00:00,20735.899858956276,20741.0,20613.0,20837.0,44.22013962627786
2025-03-15 10:00:00,20744.046544428773,20741.0,20613.0,20837.0,43.425295682730564
2025-03-15 11:00:00,20752.20675105485,20757.0,20629.0,20869.0,40.37543193149565
2025-03-15 12:00:00,20760.050847457627,20757.0,20645.0,20869.0,39.464630996693565
2025-03-15 13:00:00,20769.13559322034,20773.0,20645.0,20885.0,42.59933035064824
2025-03-15 14:00:00,20778.295774647886,20773.0,20661.0,20885.0,42.655835385294885
2025-03-15 15:00:00,20785.073342736247,20789.0,20661.0,20901.0,44.88296435120339
2025-03-15 16:00:00,20802.653032440056,20805.0,20693.0,20917.0,43.398017443786
2025-03-15 17:00:00,20811.647887323943,20805.0,20677.0,20917.0,45.399930593868
2025-03-15 18:00:00,20819.96191819464,20821.0,20693.0,20917.0,44.12623090569218
2025-03-15 19:00:00,20831.967559943583,20821.0,20693.0,20933.0,42.58265896420178
2025-03-15 20:00:00,20840.447887323942,20837.0,20725.0,20949.0,43.139024312813035
2025-03-15 21:00:00,20854.263751763046,20869.0,20741.0,20965.0,43.501342248599634
2025-03-15 22:00:00,20862.320169252467,20869.0,20757.0,20997.0,43.728688458741445
2025-03-15 23:00:00,20877.564971751413,20885.0,20757.0,20981.0,45.062866840578344
2025-03-16 00:00:00,20888.118644067796,20885.0,20773.0,21013.0,44.24788784062886
2025-03-16 01:00:00,20896.21579689704,20901.0,20757.0,21013.0,44.09997602832472
2025-03-16 02:00:00,20908.289139633285,20917.0,20789.0,21013.0,42.857695918001745
2025-03-16 03:00:00,20921.745762711864,20917.0,20741.0,21013.0,42.3607167253166
2025-03-16 04:00:00,20929.49717514124,20933.0,20805.0,21029.0,44.09198617879934
2025-03-16 05:00:00,20943.49365303244,20949.0,20821.0,21077.0,43.3533507889629
2025-03-16 06:00:00,20957.248587570622,20949.0,20821.0,21077.0,40.984011243830714
2025-03-16 07:00:00,20967.820874471086,20965.0,20837.0,21077.0,45.85395403194876
2025-03-16 08:00:00,20979.25988700565,20981.0,20869.0,21077.0,43.39483835044163
2025-03-16 09:00:00,20994.90126939351,20997.0,20869.0,21093.0,43.58946072110759
2025-03-16 10:00:00,21003.39548022599,21013.0,20869.0,21125.0,43.55830223767294
2025-03-16 11:00:00,21021.07898448519,21029.0,20901.0,21125.0,42.80443600072526
2025-03-16 12:00:00,21032.22253521127,21029.0,20901.0,21141.0,43.76296647564434
2025-03-16 13:00:00,21048.661016949154,21045.0,20917.0,21157.0,43.06947520668871
2025-03-16 14:00:00,21066.430985915493,21061.0,20949.0,21173.0,41.740181624819854
2025-03-16 15:00:00,21078.331452750353,21077.0,20933.0,21189.0,43.4369324716595
2025-03-16 16:00:00,21100.289139633285,21093.0,20965.0,21189.0,43.83368874383538
2025-03-16 17:00:00,21118.410437235543,21125.0,21013.0,21221.0,45.421279184701916
2025-03-16 18:00:00,21135.951871657755,21141.0,20997.0,21221.0,43.907201258830874
